3-a,score
Ccl8,inf
Rasgef1c,inf
Lims2,inf
Mrgprf,inf
Sema3d,inf
Abca9,inf
Abca8a,inf
Cdh19,inf
Chst3,inf
Fcer1g,inf
Klk8,inf
Sox7,4354.84815310744
Gpr37l1,1695.91393488894
Kcna1,1497.84132280441
Lyz2,1247.73555315967
Prdm16,1199.67473255874
Krt80,758.865227058865
Ndst3,712.448913700743
Aatk,580.383838639633
Reln,567.323139564542
Tnxb,542.859879186738
Mall,498.327553670642
Adam23,459.607295149232
Stfa3,412.235296165582
Fcgbp,397.456125568063
C4b,377.579470628717
Col15a1,376.143174694903
Mrc1,352.575062096617
Rab3il1,346.642623623061
Scn7a,333.352632676036
C1qa,324.674188088919
Plxnb3,303.971577574248
Esam,301.746019238368
Col6a3,282.717685144277
Kcna6,270.666955919513
Capns2,240.545137480346
Defb6,237.713491977501
Stab1,217.466416523466
Slco2b1,205.930298687018
Adrb2,204.892658139024
Ppp1r9a,196.983556207634
Epgn,195.124886603599
Adam19,177.593883619901
Csf1r,171.192249249894
Krt6a,163.475661194672
Csf2rb,160.413147140754
Iqgap2,156.494924871623
Rasgrp1,149.973794816083
Ptges,141.308691409223
Lama2,140.548365190985
Tmem45a,134.140992801752
Col6a1,131.899821988418
Nlrc5,129.51597502171
C1qc,127.659878539735
Serpina3i,125.96654494724
Nid2,120.686209230933
Susd2,119.911700038391
Serpina3h,109.744636511778
Gm973,108.830329854533
Alox12e,99.0481220158126
Hsd11b2,85.052674776623
Sparcl1,84.6364258840171
S1pr5,83.5677094185807
Cyp4b1,82.5170042160492
Serpina3g,79.263130121138
Myof,74.3127926848116
Aqp3,71.7209904172204
Mmp2,67.224098402834
Sostdc1,66.7601439183699
Zbtb7c,66.2247884519713
Slitrk6,63.5607567663877
Nfatc1,62.7392930497999
Dusp1,56.9631590404965
Htr1d,55.4988732385257
Dab2,53.359158239951
Lama4,52.9949856634421
Col27a1,49.5403598271108
Arhgap8,48.2912190337378
Gfra2,45.3258607451401
Ly6d,44.5095514280486
Cdh13,44.1831753462259
Tbkbp1,43.8395932847896
Il1r2,42.7490058443151
Tgfbi,41.3150795513597
Col7a1,41.0692574492291
Nfatc2,40.5599535341677
Zbtb16,39.7633163660819
Fosb,39.6976850917488
Srcin1,35.5470137940429
Pirb,34.8930464856808
Eng,34.8593968911954
Entpd2,34.4867957877877
Cyp2b10,34.4155121710699
Slc2a12,32.9468943792446
Pcdh1,32.4228686684773
Arhgef26,31.9937731528758
Ifi27l2a,31.923047562306
Gfra3,30.4977383755492
Gas7,29.4866589275454
Plet1,29.2110386766157
