2-e,score
Wnt7b,24.054029111444
Igf2bp2,19.8292330553535
Scube2,18.6948190359632
Nrip3,13.9544747400886
Prnd,12.6266517382279
Gm28045,12.1694529656123
Acadsb,11.3416817757573
Gm28539,9.95579744949176
1700001L05Rik,9.33278419687909
Saa3,8.71289989393765
Zfp39,7.39011584532132
Accs,6.48302795059285
Rassf2,6.37165076236384
Bid,6.1271007309672
Pbx3,6.06226561025349
Phf19,6.04861587538647
Fst,5.97208733131216
Mtcl1,5.81793756529756
Mfsd2a,5.80165355425295
Tgfa,5.652203251557
Hap1,5.38764672642077
C2cd5,5.3740719112366
Atp13a4,5.33808109753703
Zfp92,5.33723299593499
Myb,4.88242987935501
Aim2,4.79052807054299
Sulf2,4.63839741339598
Baiap2,4.60095482798419
Sema7a,4.47681214862752
Rad54l,4.36018404575593
Ildr2,4.33306162674531
Tnfrsf21,4.25954188495226
Ago4,4.24936100048619
Slc38a1,4.23239618856027
E2f1,4.19346154121174
Plekhg1,4.08274999928032
Tcf19,4.07074842121889
Pdp1,3.91506169394412
Fyn,3.89041295199398
Aff3,3.84188478401166
Zfp2,3.7721323161878
E2f7,3.72603908726197
Trp73,3.6987718872922
Pask,3.67072416066854
Tnfaip3,3.64909165686336
Plau,3.62540724174854
Rassf9,3.59732383454452
Sema6a,3.58326244350743
Pcdh19,3.57502798545279
Cgn,3.49699747194548
Chchd10,3.47123382251578
Tfap2b,3.4071133437369
Myh10,3.29365885544466
D8Ertd82e,3.27414290599152
Foxred2,3.24065456296176
Adgrl2,3.24025761515449
Flot2,3.22845567652385
Them5,3.22536772489126
Dna2,3.20123623693212
Ung,3.16939904329496
Mycl,3.13952714142749
Gnmt,3.10846404936231
Mcm10,3.08750981388121
Cdc6,3.06999224943336
Hmga1-rs1,3.04995106191368
Helb,3.04518400890942
Slfn9,3.0335401826733
Chaf1b,3.03258918186003
RP24-267O6.1,3.03139301489149
Skap2,3.01466370388988
Mcm3,3.01119681975407
Mcm6,3.00688908257861
Gm38312,2.98706962886367
Mcm2,2.98223517784362
Ppp4r1l-ps,2.980444346542
Pdlim1,2.95844105366453
Slc35g1,2.90800189433302
Trmt2b,2.86805318206336
Dhfr,2.86772478862742
Zfp280c,2.85564610314178
Gcnt1,2.85308544371547
Kit,2.84923812657883
Aifm1,2.84156721109442
BC055324,2.83431625205282
Snx7,2.82506614051176
Zmynd19,2.82303004831565
Cdc45,2.78574266124221
Ccne1,2.77614157377033
Hells,2.7696786670306
Rab23,2.76484377801558
H2afy,2.72638608340938
Wdr76,2.71063790145031
Msh6,2.70181587023709
Grb7,2.69688028741542
Akap1,2.68846783279482
Pole,2.67717062458756
Xrcc2,2.67262419263359
Cdca7l,2.66580469312998
Brca1,2.66500230894128
Mybl2,2.65621054266075
